,salary_in_usd,Medium companies,Small companies,Large companies,Full Time,Part Time,Contract,Freelance,Entry level,Mid level,Senior Level,Executive Level
159,125000,0,1,0,1,0,0,0,1,0,0,0
165,165000,0,0,1,1,0,0,0,0,0,1,0
166,80000,0,0,1,1,0,0,0,1,0,0,0
167,250000,0,0,1,1,0,0,0,0,0,0,1
168,55000,0,1,0,1,0,0,0,1,0,0,0
169,150000,0,0,1,1,0,0,0,0,1,0,0
170,170000,0,0,1,1,0,0,0,0,1,0,0
172,60000,0,1,0,1,0,0,0,1,0,0,0
173,235000,0,0,1,1,0,0,0,0,0,1,0
175,174000,0,0,1,1,0,0,0,0,0,1,0
178,81000,0,1,0,1,0,0,0,1,0,0,0
190,152000,0,0,1,1,0,0,0,0,0,1,0
193,174000,0,0,1,1,0,0,0,0,0,1,0
195,147000,0,0,1,1,0,0,0,0,1,0,0
199,90000,0,1,0,1,0,0,0,1,0,0,0
201,195000,1,0,0,1,0,0,0,0,0,1,0
204,160000,0,0,1,1,0,0,0,0,1,0,0
206,200000,0,0,1,1,0,0,0,0,0,1,0
207,165000,1,0,0,1,0,0,0,0,0,1,0
209,120000,0,0,1,1,0,0,0,0,0,1,0
215,185000,0,0,1,1,0,0,0,0,0,1,0
219,140000,0,0,1,1,0,0,0,0,0,1,0
224,225000,0,0,1,1,0,0,0,0,0,1,0
225,416000,0,1,0,0,0,1,0,0,0,0,1
228,135000,0,0,1,1,0,0,0,0,0,1,0
231,256000,0,1,0,1,0,0,0,0,0,1,0
232,200000,0,0,1,1,0,0,0,0,0,1,0
233,200000,0,0,1,1,0,0,0,0,0,1,0
234,180000,0,0,1,1,0,0,0,0,1,0,0
235,110000,0,1,0,1,0,0,0,0,1,0,0
241,80000,0,0,1,1,0,0,0,0,1,0,0
242,110000,0,0,1,1,0,0,0,0,1,0,0
243,165000,0,0,1,1,0,0,0,0,0,1,0
249,170000,1,0,0,1,0,0,0,0,0,1,0
250,115000,0,0,1,1,0,0,0,0,1,0,0
251,90000,0,1,0,1,0,0,0,1,0,0,0
252,600000,0,0,1,1,0,0,0,0,0,0,1
254,93000,0,0,1,1,0,0,0,0,1,0,0
256,200000,0,0,1,1,0,0,0,0,1,0,0
258,185000,0,0,1,1,0,0,0,0,0,1,0
260,130000,0,0,1,1,0,0,0,0,1,0,0
266,93150,1,0,0,1,0,0,0,0,1,0,0
267,111775,1,0,0,1,0,0,0,0,1,0,0
270,72500,0,0,1,1,0,0,0,1,0,0,0
275,100000,1,0,0,1,0,0,0,1,0,0,0
276,58000,0,0,1,1,0,0,0,1,0,0,0
280,112000,0,0,1,1,0,0,0,0,1,0,0
283,105000,1,0,0,0,0,1,0,0,0,1,0
287,109000,0,0,1,1,0,0,0,0,1,0,0
289,135000,1,0,0,1,0,0,0,0,0,1,0
290,155000,1,0,0,1,0,0,0,0,0,1,0
291,120600,1,0,0,1,0,0,0,0,0,1,0
292,130000,1,0,0,1,0,0,0,0,1,0,0
293,90000,1,0,0,1,0,0,0,0,1,0,0
294,170000,1,0,0,1,0,0,0,0,1,0,0
295,150000,1,0,0,1,0,0,0,0,1,0,0
296,102100,1,0,0,1,0,0,0,0,0,1,0
297,84900,1,0,0,1,0,0,0,0,0,1,0
298,136620,1,0,0,1,0,0,0,0,0,1,0
299,99360,1,0,0,1,0,0,0,0,0,1,0
302,146000,1,0,0,1,0,0,0,0,0,1,0
303,123000,1,0,0,1,0,0,0,0,0,1,0
305,99000,1,0,0,1,0,0,0,0,0,1,0
306,116000,1,0,0,1,0,0,0,0,0,1,0
307,106260,1,0,0,1,0,0,0,0,1,0,0
308,126500,1,0,0,1,0,0,0,0,1,0,0
309,242000,1,0,0,1,0,0,0,0,0,0,1
310,200000,1,0,0,1,0,0,0,0,0,0,1
315,165220,1,0,0,1,0,0,0,0,0,1,0
317,120160,1,0,0,1,0,0,0,0,0,1,0
318,90320,1,0,0,1,0,0,0,0,0,1,0
319,181940,1,0,0,1,0,0,0,0,0,1,0
320,132320,1,0,0,1,0,0,0,0,0,1,0
321,220110,1,0,0,1,0,0,0,0,0,1,0
322,160080,1,0,0,1,0,0,0,0,0,1,0
323,180000,0,0,1,1,0,0,0,0,0,1,0
324,120000,0,0,1,1,0,0,0,0,0,1,0
325,124190,1,0,0,1,0,0,0,0,0,1,0
326,130000,1,0,0,1,0,0,0,0,0,0,1
327,110000,1,0,0,1,0,0,0,0,0,0,1
328,170000,1,0,0,1,0,0,0,0,0,1,0
329,115500,1,0,0,1,0,0,0,0,1,0,0
330,112900,1,0,0,1,0,0,0,0,0,1,0
331,90320,1,0,0,1,0,0,0,0,0,1,0
332,112900,1,0,0,1,0,0,0,0,0,1,0
333,90320,1,0,0,1,0,0,0,0,0,1,0
334,165400,1,0,0,1,0,0,0,0,0,1,0
335,132320,1,0,0,1,0,0,0,0,0,1,0
336,167000,1,0,0,1,0,0,0,0,1,0,0
337,243900,1,0,0,1,0,0,0,0,0,1,0
338,136600,1,0,0,1,0,0,0,0,0,1,0
339,109280,1,0,0,1,0,0,0,0,0,1,0
340,128875,1,0,0,1,0,0,0,0,0,1,0
341,93700,1,0,0,1,0,0,0,0,0,1,0
342,224000,1,0,0,1,0,0,0,0,0,0,1
343,167875,1,0,0,1,0,0,0,0,0,0,1
344,175000,1,0,0,1,0,0,0,0,0,0,1
345,156600,1,0,0,1,0,0,0,0,0,1,0
346,108800,1,0,0,1,0,0,0,0,0,1,0
347,95550,1,0,0,1,0,0,0,0,0,1,0
348,113000,0,0,1,1,0,0,0,0,0,1,0
349,135000,1,0,0,1,0,0,0,0,0,1,0
350,161342,1,0,0,1,0,0,0,0,0,1,0
351,137141,1,0,0,1,0,0,0,0,0,1,0
352,167000,1,0,0,1,0,0,0,0,0,1,0
353,123000,1,0,0,1,0,0,0,0,0,1,0
356,150000,1,0,0,1,0,0,0,0,0,1,0
357,211500,1,0,0,1,0,0,0,0,0,1,0
364,160000,0,0,1,1,0,0,0,0,0,1,0
365,138600,1,0,0,1,0,0,0,0,0,1,0
366,136000,1,0,0,1,0,0,0,0,0,1,0
367,58000,0,1,0,1,0,0,0,0,1,0,0
368,135000,1,0,0,1,0,0,0,0,0,0,1
369,170000,1,0,0,1,0,0,0,0,0,1,0
370,123000,1,0,0,1,0,0,0,0,0,1,0
371,189650,1,0,0,1,0,0,0,0,0,1,0
372,164996,1,0,0,1,0,0,0,0,0,1,0
376,132000,1,0,0,1,0,0,0,0,0,1,0
377,165400,1,0,0,1,0,0,0,0,0,1,0
378,208775,1,0,0,1,0,0,0,0,0,1,0
379,147800,1,0,0,1,0,0,0,0,0,1,0
380,136994,1,0,0,1,0,0,0,0,0,1,0
381,101570,1,0,0,1,0,0,0,0,0,1,0
382,128875,1,0,0,1,0,0,0,0,0,1,0
383,93700,1,0,0,1,0,0,0,0,0,1,0
385,132320,1,0,0,1,0,0,0,0,0,1,0
387,164000,1,0,0,1,0,0,0,0,0,1,0
388,155000,1,0,0,1,0,0,0,0,0,1,0
391,120000,1,0,0,1,0,0,0,0,1,0,0
392,112900,1,0,0,1,0,0,0,0,0,1,0
393,90320,1,0,0,1,0,0,0,0,0,1,0
394,145000,1,0,0,1,0,0,0,0,0,1,0
395,105400,1,0,0,1,0,0,0,0,0,1,0
398,215300,0,0,1,1,0,0,0,0,0,1,0
399,158200,0,0,1,1,0,0,0,0,0,1,0
400,209100,0,0,1,1,0,0,0,0,0,1,0
401,154600,0,0,1,1,0,0,0,0,0,1,0
402,115934,1,0,0,1,0,0,0,0,0,1,0
403,81666,1,0,0,1,0,0,0,0,0,1,0
404,175000,1,0,0,1,0,0,0,0,0,1,0
406,58000,0,1,0,1,0,0,0,0,1,0,0
407,183600,0,0,1,1,0,0,0,0,0,1,0
409,180000,1,0,0,1,0,0,0,0,0,1,0
416,260000,1,0,0,1,0,0,0,0,0,1,0
418,63900,1,0,0,1,0,0,0,0,1,0,0
419,160000,0,0,1,1,0,0,0,0,1,0,0
420,112300,0,0,1,1,0,0,0,0,1,0,0
421,241000,1,0,0,1,0,0,0,0,1,0,0
422,159000,1,0,0,1,0,0,0,0,1,0,0
423,180000,1,0,0,1,0,0,0,0,0,1,0
424,80000,1,0,0,1,0,0,0,0,0,1,0
425,82900,1,0,0,1,0,0,0,0,1,0,0
426,100800,0,0,1,1,0,0,0,0,0,1,0
428,140400,0,0,1,1,0,0,0,0,0,1,0
438,189650,1,0,0,1,0,0,0,0,0,1,0
439,164996,1,0,0,1,0,0,0,0,0,1,0
444,215300,0,0,1,1,0,0,0,0,0,1,0
446,209100,0,0,1,1,0,0,0,0,0,1,0
447,154600,0,0,1,1,0,0,0,0,0,1,0
448,180000,1,0,0,1,0,0,0,0,0,1,0
450,80000,1,0,0,1,0,0,0,0,0,1,0
453,120000,0,1,0,1,0,0,0,0,1,0,0
454,125000,1,0,0,1,0,0,0,1,0,0,0
455,37236,0,0,1,1,0,0,0,0,1,0,0
456,105000,1,0,0,1,0,0,0,0,0,1,0
461,100000,0,0,1,1,0,0,0,1,0,0,0
465,120000,1,0,0,1,0,0,0,1,0,0,0
466,144000,0,0,1,1,0,0,0,0,0,1,0
467,104890,1,0,0,1,0,0,0,0,0,1,0
468,100000,1,0,0,1,0,0,0,0,0,1,0
469,140000,1,0,0,1,0,0,0,0,0,1,0
470,135000,1,0,0,1,0,0,0,0,1,0,0
471,50000,1,0,0,1,0,0,0,0,1,0,0
472,220000,1,0,0,1,0,0,0,0,0,1,0
473,140000,1,0,0,1,0,0,0,0,0,1,0
476,185100,1,0,0,1,0,0,0,0,0,1,0
477,220000,1,0,0,1,0,0,0,0,0,1,0
478,200000,1,0,0,1,0,0,0,0,1,0,0
479,120000,1,0,0,1,0,0,0,0,1,0,0
482,324000,1,0,0,1,0,0,0,0,0,0,1
483,216000,1,0,0,1,0,0,0,0,0,0,1
484,210000,1,0,0,1,0,0,0,0,0,1,0
485,120000,1,0,0,1,0,0,0,0,0,1,0
486,230000,1,0,0,1,0,0,0,0,0,1,0
495,153000,1,0,0,1,0,0,0,0,1,0,0
497,165000,1,0,0,1,0,0,0,0,0,1,0
504,115000,1,0,0,1,0,0,0,0,0,1,0
508,120000,0,0,1,1,0,0,0,1,0,0,0
509,157000,0,0,1,1,0,0,0,0,1,0,0
512,65000,0,1,0,1,0,0,0,1,0,0,0
516,152500,1,0,0,1,0,0,0,0,0,1,0
519,380000,0,0,1,1,0,0,0,0,0,1,0
523,405000,0,0,1,1,0,0,0,0,0,1,0
524,135000,0,0,1,1,0,0,0,0,1,0,0
525,177000,0,0,1,1,0,0,0,0,0,1,0
526,78000,1,0,0,1,0,0,0,0,1,0,0
527,135000,1,0,0,1,0,0,0,0,0,1,0
528,100000,1,0,0,1,0,0,0,0,0,1,0
529,90320,1,0,0,1,0,0,0,0,0,1,0
532,214000,1,0,0,1,0,0,0,0,0,1,0
533,192600,1,0,0,1,0,0,0,0,0,1,0
534,266400,1,0,0,1,0,0,0,0,0,1,0
535,213120,1,0,0,1,0,0,0,0,0,1,0
536,112900,1,0,0,1,0,0,0,0,0,1,0
537,155000,1,0,0,1,0,0,0,0,0,1,0
538,141300,1,0,0,1,0,0,0,0,1,0,0
539,102100,1,0,0,1,0,0,0,0,1,0,0
540,115934,1,0,0,1,0,0,0,0,0,1,0
541,81666,1,0,0,1,0,0,0,0,0,1,0
542,206699,1,0,0,1,0,0,0,0,1,0,0
543,99100,1,0,0,1,0,0,0,0,1,0,0
544,130000,1,0,0,1,0,0,0,0,0,1,0
545,115000,1,0,0,1,0,0,0,0,0,1,0
546,110500,1,0,0,1,0,0,0,0,0,1,0
547,130000,1,0,0,1,0,0,0,0,0,1,0
548,99050,1,0,0,1,0,0,0,0,0,1,0
549,160000,1,0,0,1,0,0,0,0,0,1,0
550,205300,0,0,1,1,0,0,0,0,0,1,0
551,140400,0,0,1,1,0,0,0,0,0,1,0
552,176000,1,0,0,1,0,0,0,0,0,1,0
553,144000,1,0,0,1,0,0,0,0,0,1,0
554,200100,1,0,0,1,0,0,0,0,0,1,0
555,160000,1,0,0,1,0,0,0,0,0,1,0
556,145000,1,0,0,1,0,0,0,0,0,1,0
557,70500,1,0,0,1,0,0,0,0,0,1,0
558,205300,1,0,0,1,0,0,0,0,0,1,0
559,140400,1,0,0,1,0,0,0,0,0,1,0
560,205300,1,0,0,1,0,0,0,0,0,1,0
561,184700,1,0,0,1,0,0,0,0,0,1,0
562,175100,1,0,0,1,0,0,0,0,0,1,0
563,140250,1,0,0,1,0,0,0,0,0,1,0
564,116150,1,0,0,1,0,0,0,0,0,1,0
565,54000,1,0,0,1,0,0,0,0,0,1,0
566,170000,1,0,0,1,0,0,0,0,0,1,0
568,80000,1,0,0,1,0,0,0,0,0,1,0
569,140000,1,0,0,1,0,0,0,0,0,1,0
570,210000,1,0,0,1,0,0,0,0,0,1,0
571,140000,1,0,0,1,0,0,0,0,0,1,0
572,100000,1,0,0,1,0,0,0,0,0,1,0
573,69000,1,0,0,1,0,0,0,0,0,1,0
574,210000,1,0,0,1,0,0,0,0,0,1,0
575,140000,1,0,0,1,0,0,0,0,0,1,0
576,210000,1,0,0,1,0,0,0,0,0,1,0
577,150075,1,0,0,1,0,0,0,0,0,1,0
578,100000,1,0,0,1,0,0,0,0,0,1,0
579,25000,1,0,0,1,0,0,0,0,0,1,0
580,126500,1,0,0,1,0,0,0,0,0,1,0
581,106260,1,0,0,1,0,0,0,0,0,1,0
582,220110,1,0,0,1,0,0,0,0,0,1,0
583,160080,1,0,0,1,0,0,0,0,0,1,0
584,105000,1,0,0,1,0,0,0,0,0,1,0
585,110925,1,0,0,1,0,0,0,0,0,1,0
587,140000,1,0,0,1,0,0,0,0,0,1,0
588,99000,1,0,0,1,0,0,0,0,0,1,0
589,60000,1,0,0,1,0,0,0,0,0,1,0
590,192564,1,0,0,1,0,0,0,0,0,1,0
591,144854,1,0,0,1,0,0,0,0,0,1,0
592,230000,1,0,0,1,0,0,0,0,0,1,0
593,150000,1,0,0,1,0,0,0,0,0,1,0
594,150260,1,0,0,1,0,0,0,0,0,1,0
595,109280,1,0,0,1,0,0,0,0,0,1,0
596,210000,1,0,0,1,0,0,0,0,0,1,0
597,170000,1,0,0,1,0,0,0,0,0,1,0
598,160000,1,0,0,1,0,0,0,0,1,0,0
599,130000,1,0,0,1,0,0,0,0,1,0,0
602,154000,1,0,0,1,0,0,0,0,0,1,0
603,126000,1,0,0,1,0,0,0,0,0,1,0
604,129000,1,0,0,1,0,0,0,0,0,1,0
605,150000,1,0,0,1,0,0,0,0,0,1,0
